Experiment,Outcome,Input tokens, Output tokens, Total reasoning tokens,Total tokens,Bad response cnt,Verification attempts,Resolution attempts,Soft-failed resolution cnt,Hard-failed resolution cnt,Responses with 'assume',Experiment time (ms),Iteration 1 time (ms),Iteration 2 time (ms),Iteration 3 time (ms),Iteration 4 time (ms),Iteration 5 time (ms),Iteration 6 time (ms),Iteration 7 time (ms),Iteration 8 time (ms)
p_5_1_a_smallest,SUCCESS,302,386,297,688,0,1,1,0,0,0,50542,50533,,,,,,,
p_5_1_b_average,SUCCESS,278,108,71,386,0,1,1,0,0,0,17063,17049,,,,,,,
p_5_2_a_all_the_same,SUCCESS,278,115,82,393,0,1,1,0,0,0,32923,32922,,,,,,,
p_5_2_b_all_different,SUCCESS,286,94,57,380,0,1,1,0,0,0,20780,20778,,,,,,,
p_5_2_c_sorted,SUCCESS,274,117,84,391,0,1,1,0,0,0,38941,38924,,,,,,,
p_5_3_first_digit,SUCCESS,464,570,512,1034,0,1,1,0,0,0,40193,40174,,,,,,,
p_5_4_middle,SUCCESS,410,674,512,1084,0,1,1,0,0,0,42848,42841,,,,,,,
p_5_5_repeat,FAILURE_VERIFY,10146,24928,22074,35074,1,1,3,2,0,0,674013,191677,237120,151170,94015,,,,
p_5_7_count_words,SUCCESS,692,4941,4096,5633,0,1,1,0,0,0,131710,131709,,,,,,,
p_5_9_a_sphere_volume,SUCCESS,286,115,68,401,0,1,1,0,0,0,24765,24761,,,,,,,
p_5_9_b_sphere_surface,SUCCESS,270,144,105,414,0,1,1,0,0,0,33905,33904,,,,,,,
p_5_9_c_cylinder_volume,SUCCESS,272,109,73,381,0,1,1,0,0,0,37135,37065,,,,,,,
p_5_9_d_cylinder_surface,SUCCESS,308,157,103,465,0,1,1,0,0,0,34620,34616,,,,,,,
p_5_9_e_cone_volume,SUCCESS,294,133,86,427,0,1,1,0,0,0,41252,41252,,,,,,,
p_5_9_f_cone_surface,FAILURE_VERIFY,6041,26900,24576,32941,1,3,3,0,0,0,781160,135398,225814,259255,160688,,,,
