Experiment,Outcome,Input tokens, Output tokens, Total reasoning tokens,Total tokens,Bad response cnt,Verification attempts,Resolution attempts,Soft-failed resolution cnt,Hard-failed resolution cnt,Responses with 'assume',Experiment time (ms),Iteration 1 time (ms),Iteration 2 time (ms),Iteration 3 time (ms),Iteration 4 time (ms),Iteration 5 time (ms),Iteration 6 time (ms),Iteration 7 time (ms),Iteration 8 time (ms)
p_2_10_hybrid_car_cost,SUCCESS,470,43,0,513,0,1,1,0,0,0,7396,7395,,,,,,,
p_2_1_letter_dimensions,SUCCESS,1375,851,577,2226,0,1,2,0,1,0,24064,8935,15119,,,,,,
p_2_2_letter_perimeter,SUCCESS,420,1677,1501,2097,0,1,1,0,0,0,35928,35926,,,,,,,
p_2_3_power_functions,SUCCESS,318,116,66,434,0,1,1,0,0,0,6509,6507,,,,,,,
p_2_4_a_sum,SUCCESS,260,56,28,316,0,1,1,0,0,0,5517,5515,,,,,,,
p_2_4_b_difference,SUCCESS,260,22,0,282,0,1,1,0,0,0,5173,5171,,,,,,,
p_2_4_c_product,SUCCESS,260,22,0,282,0,1,1,0,0,0,5379,5377,,,,,,,
p_2_4_d_avarage,SUCCESS,282,269,231,551,0,1,1,0,0,0,10007,10007,,,,,,,
p_2_4_e_distance,SUCCESS,306,74,23,380,0,1,1,0,0,0,7473,7468,,,,,,,
p_2_4_f_max,SUCCESS,304,68,21,372,0,1,1,0,0,0,6313,6309,,,,,,,
p_2_4_g_min,SUCCESS,304,75,28,379,0,1,1,0,0,0,6801,6801,,,,,,,
p_2_6_convert,SUCCESS,338,190,133,528,0,1,1,0,0,0,7880,7880,,,,,,,
p_2_7_circle_properties,SUCCESS,456,324,226,780,0,1,1,0,0,0,10484,10484,,,,,,,
p_2_8_rectangle_properties,SUCCESS,4988,24866,23352,29854,0,3,5,1,1,0,605206,29120,71543,123994,106188,274359,,,
