Experiment,Outcome,Input tokens, Output tokens, Total reasoning tokens,Total tokens,Bad response cnt,Verification attempts,Resolution attempts,Soft-failed resolution cnt,Hard-failed resolution cnt,Responses with 'assume',Experiment time (ms),Iteration 1 time (ms),Iteration 2 time (ms),Iteration 3 time (ms),Iteration 4 time (ms),Iteration 5 time (ms),Iteration 6 time (ms),Iteration 7 time (ms),Iteration 8 time (ms)
p_5_1_a_smallest,SUCCESS,306,558,469,864,0,1,1,0,0,0,86589,86478,,,,,,,
p_5_1_b_average,SUCCESS,282,63,26,345,0,1,1,0,0,0,35106,34998,,,,,,,
p_5_2_a_all_the_same,SUCCESS,286,27,0,313,0,1,1,0,0,0,39153,39151,,,,,,,
p_5_2_b_all_different,SUCCESS,292,63,26,355,0,1,1,0,0,0,25527,25527,,,,,,,
p_5_2_c_sorted,SUCCESS,292,27,0,319,0,1,1,0,0,0,21360,21354,,,,,,,
p_5_3_first_digit,SUCCESS,468,1088,1023,1556,0,1,1,0,0,0,61860,61854,,,,,,,
p_5_4_middle,SUCCESS,470,1224,1024,1694,0,1,1,0,0,0,114902,114895,,,,,,,
p_5_5_repeat,FAILURE_VERIFY,6222,25613,22728,31835,0,2,4,1,1,0,697996,227476,134106,159690,176676,,,,
p_5_7_count_words,SUCCESS,748,3587,3072,4335,0,1,1,0,0,0,125830,125824,,,,,,,
p_5_9_a_sphere_volume,SUCCESS,296,134,87,430,0,1,1,0,0,0,41025,41024,,,,,,,
p_5_9_b_sphere_surface,SUCCESS,280,116,77,396,0,1,1,0,0,0,29600,29598,,,,,,,
p_5_9_c_cylinder_volume,SUCCESS,294,117,81,411,0,1,1,0,0,0,33739,33739,,,,,,,
p_5_9_d_cylinder_surface,SUCCESS,330,128,74,458,0,1,1,0,0,0,18969,18964,,,,,,,
p_5_9_e_cone_volume,SUCCESS,316,157,110,473,0,1,1,0,0,0,70518,70517,,,,,,,
p_5_9_f_cone_surface,FAILURE_VERIFY,6792,23915,20339,30707,0,4,4,0,0,0,638037,166506,272155,145839,53521,,,,
