Experiment,Outcome,Input tokens, Output tokens, Total reasoning tokens,Total tokens,Bad response cnt,Verification attempts,Resolution attempts,Soft-failed resolution cnt,Hard-failed resolution cnt,Responses with 'assume',Experiment time (ms),Iteration 1 time (ms),Iteration 2 time (ms),Iteration 3 time (ms),Iteration 4 time (ms),Iteration 5 time (ms),Iteration 6 time (ms),Iteration 7 time (ms),Iteration 8 time (ms)
p_2_10_hybrid_car_cost,SUCCESS,350,83,34,433,0,1,1,0,0,0,36527,36526,,,,,,,
p_2_1_letter_dimensions,SUCCESS,284,211,163,495,0,1,1,0,0,0,43822,43745,,,,,,,
p_2_2_letter_perimeter,SUCCESS,354,665,512,1019,0,1,1,0,0,0,48649,48576,,,,,,,
p_2_3_power_functions,SUCCESS,300,38,0,338,0,1,1,0,0,0,25834,25829,,,,,,,
p_2_4_a_sum,SUCCESS,252,63,35,315,0,1,1,0,0,0,28322,28320,,,,,,,
p_2_4_b_difference,SUCCESS,252,43,15,295,0,1,1,0,0,0,24106,24103,,,,,,,
p_2_4_c_product,SUCCESS,252,55,27,307,0,1,1,0,0,0,56221,56205,,,,,,,
p_2_4_d_avarage,SUCCESS,274,150,113,424,0,1,1,0,0,0,41329,41328,,,,,,,
p_2_4_e_distance,SUCCESS,286,158,107,444,0,1,1,0,0,0,36313,36311,,,,,,,
p_2_4_f_max,SUCCESS,284,41,0,325,0,1,1,0,0,0,33372,33365,,,,,,,
p_2_4_g_min,SUCCESS,284,72,25,356,0,1,1,0,0,0,65064,65059,,,,,,,
p_2_6_convert,SUCCESS,314,186,129,500,0,1,1,0,0,0,41197,41196,,,,,,,
p_2_7_circle_properties,SUCCESS,408,200,102,608,0,1,1,0,0,0,34832,34826,,,,,,,
p_2_8_rectangle_properties,FAILURE_VERIFY,10483,22361,21514,32844,1,4,5,1,0,0,824239,86962,129220,174121,151558,89668,192681,,
